               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                 131            0.042131            0.045061           0.0076856             0.84046             0.87285             0.92063             0.59235             0.03586            0.024071           0.0037701           0.0096299           0.0096299           0.0096299
                 132            0.042914            0.041564           0.0068679             0.77766             0.86206             0.90778             0.57129            0.039887            0.024393           0.0038739           0.0096243           0.0096243           0.0096243
                 133            0.040932            0.046275           0.0077073             0.87501              0.8487             0.93307             0.59579            0.036525            0.024303           0.0040532           0.0096186           0.0096186           0.0096186
                 134            0.039351            0.044803           0.0071561              0.8807             0.86977             0.93108             0.61168            0.034597            0.024139           0.0041556           0.0096129           0.0096129           0.0096129
                 135            0.039551            0.043013           0.0073021             0.87377             0.87946             0.92527             0.60181            0.035486            0.023886           0.0040413           0.0096071           0.0096071           0.0096071
                 136            0.039725            0.041867           0.0077886              0.8892             0.85747             0.92013             0.62075            0.034332            0.023936           0.0039696           0.0096013           0.0096013           0.0096013
                 137            0.041282            0.040912           0.0071517             0.79503             0.85512             0.87855             0.56179            0.037601            0.023689           0.0038415           0.0095955           0.0095955           0.0095955
                 138            0.041506            0.041513           0.0069227             0.80718             0.90039              0.9155             0.61415            0.035462            0.023682            0.003828           0.0095896           0.0095896           0.0095896
                 139            0.039739            0.040785           0.0074063              0.8387             0.89187             0.92326             0.61383             0.03445            0.023883           0.0038195           0.0095837           0.0095837           0.0095837
                 140            0.039953             0.04328           0.0085393             0.87943              0.8343             0.91245             0.60182            0.035443             0.02403           0.0037951           0.0095777           0.0095777           0.0095777
                 141             0.04226            0.041795           0.0079641             0.89946             0.84285             0.92471             0.62203            0.034186            0.023494           0.0037697           0.0095717           0.0095717           0.0095717
                 142            0.037432            0.044364           0.0070168             0.89713             0.85702             0.92735              0.6301             0.03303             0.02342           0.0037836           0.0095657           0.0095657           0.0095657
                 143            0.039915            0.040128           0.0081234             0.90437             0.84074             0.92614             0.60058             0.03422            0.023693           0.0038234           0.0095596           0.0095596           0.0095596
                 144            0.041324            0.042742           0.0078136             0.87321             0.85029             0.92455             0.58997            0.036351            0.024267           0.0039382           0.0095535           0.0095535           0.0095535
                 145            0.041112            0.042513           0.0067707             0.82005              0.8803              0.9069             0.58243            0.036982            0.024249           0.0039934           0.0095473           0.0095473           0.0095473
                 146            0.042385            0.043019           0.0073591              0.8591             0.84415             0.92359             0.57455            0.038037            0.024721           0.0038165           0.0095411           0.0095411           0.0095411
                 147            0.041277            0.042338           0.0070724             0.85762             0.86766             0.91027             0.61718            0.035114            0.024241            0.003901           0.0095349           0.0095349           0.0095349
                 148            0.039567            0.043326           0.0077314             0.88965             0.84483             0.91007              0.6127            0.034184            0.023787           0.0040547           0.0095286           0.0095286           0.0095286
                 149             0.03864            0.045367           0.0067424              0.8859             0.83186             0.91713              0.6229            0.034073            0.023524           0.0040894           0.0095223           0.0095223           0.0095223
                 150            0.040112            0.042391           0.0072771              0.8904             0.84701             0.93186             0.60102            0.034187            0.023467           0.0038554           0.0095159           0.0095159           0.0095159
                 151             0.03901            0.043476           0.0067643             0.87905             0.86954             0.94023              0.6476            0.033796            0.023156            0.003614           0.0095095           0.0095095           0.0095095
                 152            0.037407             0.04027           0.0066215             0.86609             0.85887             0.93373             0.63152            0.034611            0.023243           0.0035374           0.0095031           0.0095031           0.0095031
                 153            0.040909            0.044912           0.0063491             0.85627             0.83468             0.91878             0.56089            0.038809            0.023692           0.0034536           0.0094966           0.0094966           0.0094966
                 154             0.04222             0.04423           0.0077128             0.81618             0.91247             0.93891             0.63845            0.034098            0.022991           0.0035584           0.0094901           0.0094901           0.0094901
                 155             0.04013            0.044478           0.0069108             0.87561             0.85233             0.91805             0.63079            0.034173            0.023011           0.0036248           0.0094835           0.0094835           0.0094835
                 156            0.038098            0.042446            0.006227             0.90649              0.8415             0.92831             0.63615            0.033463             0.02297           0.0035607           0.0094769           0.0094769           0.0094769
                 157            0.039012            0.041433           0.0071417             0.88848             0.86904             0.92682             0.60663            0.034389            0.023335           0.0035771           0.0094703           0.0094703           0.0094703
                 158            0.038747            0.041918           0.0062969             0.88893             0.85884             0.93382             0.64145            0.033412            0.023183           0.0036483           0.0094636           0.0094636           0.0094636
                 159            0.037853            0.042266           0.0071543             0.88049             0.86192             0.92834             0.61845             0.03452            0.023414           0.0036431           0.0094569           0.0094569           0.0094569
