               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                 173            0.033669            0.041167           0.0053897             0.91349             0.90388             0.95334             0.71062            0.027218            0.019712           0.0026953           0.0044724           0.0044724           0.0044724
                 174            0.032984            0.037539           0.0061634             0.90645             0.90807             0.95009             0.71855            0.026903             0.01988           0.0027011           0.0044266           0.0044266           0.0044266
                 175            0.031547            0.036907           0.0049914             0.92438             0.89373             0.95079             0.72274            0.026448            0.019681           0.0027002           0.0043809           0.0043809           0.0043809
                 176             0.03252            0.034625           0.0053808             0.93023             0.89281             0.95184             0.70962            0.027338            0.019897           0.0026975           0.0043353           0.0043353           0.0043353
                 177            0.033752            0.038388           0.0052002             0.91844             0.90196             0.95203             0.72514            0.026974            0.019816           0.0026701           0.0042899           0.0042899           0.0042899
                 178            0.032497            0.034536           0.0048493             0.92138             0.90099             0.95214             0.70252            0.028016            0.019886           0.0026788           0.0042445           0.0042445           0.0042445
                 179            0.033071            0.038125           0.0048838             0.92924             0.90161              0.9532             0.71101            0.027627              0.0198           0.0026973           0.0041994           0.0041994           0.0041994
                 180            0.032756            0.035798           0.0050475             0.87456              0.9424             0.96103             0.72926            0.026674            0.019535           0.0027256           0.0041543           0.0041543           0.0041543
                 181            0.032884            0.037993           0.0050612             0.92789               0.892             0.95092             0.70629            0.027556            0.019621           0.0027327           0.0041094           0.0041094           0.0041094
                 182            0.033731            0.039497           0.0046297             0.90657             0.88787             0.94569              0.6948            0.028769            0.019724            0.002756           0.0040647           0.0040647           0.0040647
